SDv2.2,Best Swiss-prot hit,mtDNA-inte vs not-int,mtDNA-interaction categories
TCAL_16413,"Cox6a1 Cytochrome c oxidase subunit 6A1, mitochondrial (Rattus norvegicus)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_10240,Cox6c Cytochrome c oxidase subunit 6C (Mus musculus),mtDNA-interacting,OXPHOS Comp-IV
TCAL_12221,"Cytochrome c oxidase assembly factor 8; Apopt1 Apoptogenic protein 1, mitochondrial (Mus musculus)",mtDNA-interacting,OXPHOS Comp-IV
TCAL_16789,ATP synthase F(0) complex subunit e [Cricetulus longicaudatus],mtDNA-interacting,OXPHOS Comp-V
TCAL_11042,"ATP synthase lipid-binding protein, mitochondrial (Manduca sexta)",mtDNA-interacting,OXPHOS Comp-V
TCAL_13904,"ATP synthase subunit epsilon, mitochondrial (Ipomoea batatas)",mtDNA-interacting,OXPHOS Comp-V
TCAL_02043,"Atp5d ATP synthase subunit delta, mitochondrial (Mus musculus)",mtDNA-interacting,OXPHOS Comp-V
TCAL_04256,"ATP5L ATP synthase subunit g, mitochondrial (Homo sapiens)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05927,"ATP5S ATP synthase subunit s, mitochondrial (Bos taurus)",mtDNA-interacting,OXPHOS Comp-V
TCAL_15094,ATPAF2 ATP synthase mitochondrial F1 complex assembly factor 2 (Bos taurus),mtDNA-interacting,OXPHOS Comp-V
TCAL_05837,"ATPsyn-b ATP synthase subunit b, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_07372,"ATPsyn-beta ATP synthase subunit beta, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_08515,"ATPsyn-Cf6 ATP synthase-coupling factor 6, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05607,"ATPsyn-d ATP synthase subunit d, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_17301,"ATPsyn-gamma ATP synthase subunit gamma, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_05580,"ATPsynO ATP synthase subunit O, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_11397,"blw ATP synthase subunit alpha, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_11398,"blw ATP synthase subunit alpha, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_04747,"CG4692 Putative ATP synthase subunit f, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,OXPHOS Comp-V
TCAL_10247,"BRAFLDRAFT_270748 Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Branchiostoma floridae)",mtDNA-interacting,translation factor
TCAL_02044,"CPIJ005834 Elongation factor G, mitochondrial (Culex quinquefasciatus)",mtDNA-interacting,translation factor
TCAL_11405,"gatA Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Anopheles gambiae)",mtDNA-interacting,translation factor
TCAL_10086,"GatB Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Drosophila melanogaster)",mtDNA-interacting,translation factor
TCAL_02796,"Guf1 Translation factor Guf1, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_04972,"Mrpl58 Peptidyl-tRNA hydrolase ICT1, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_08083,"Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_17405,"Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_13790,"Mtif2 Translation initiation factor IF-2, mitochondrial (Mus musculus)",mtDNA-interacting,translation factor
TCAL_09099,"MTO1 Protein MTO1 homolog, mitochondrial (Macaca fascicularis)",mtDNA-interacting,translation factor
TCAL_11127,"PTRH2 Peptidyl-tRNA hydrolase 2, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_17226,"PTRH2 Peptidyl-tRNA hydrolase 2, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_11958,"TUFM Elongation factor Tu, mitochondrial (Bos taurus)",mtDNA-interacting,translation factor
TCAL_05467,"TUFM Elongation factor Tu, mitochondrial (Homo sapiens)",mtDNA-interacting,translation factor
TCAL_03982,"AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_11524,"AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_06653,AAEL000794 Clustered mitochondria protein homolog (Aedes aegypti),not-interacting,no-int
TCAL_00588,"AAEL009368 Lipoyl synthase, mitochondrial (Aedes aegypti)",not-interacting,no-int
TCAL_05997,"AAEL011789 Probable citrate synthase 2, mitochondrial (Aedes aegypti)",not-interacting,no-int
TCAL_11846,"AASS Alpha-aminoadipic semialdehyde synthase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_01296,"ABAT 4-aminobutyrate aminotransferase, mitochondrial (Sus scrofa)",not-interacting,no-int
TCAL_07357,"ABAT 4-aminobutyrate aminotransferase, mitochondrial (Sus scrofa)",not-interacting,no-int
TCAL_03147,"Abcb10 ATP-binding cassette sub-family B member 10, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_13378,"abcb6 ATP-binding cassette sub-family B member 6, mitochondrial (Xenopus tropicalis)",not-interacting,no-int
TCAL_07283,"ABCB7 ATP-binding cassette sub-family B member 7, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_07153,"abcb8 ATP-binding cassette sub-family B member 8, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_10253,ABCD2 ATP-binding cassette sub-family D member 2 (Homo sapiens),not-interacting,no-int
TCAL_09747,"ABHD10 Mycophenolic acid acyl-glucuronide esterase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_11389,abhd11 Alpha/beta hydrolase domain-containing protein 11 (Danio rerio),not-interacting,no-int
TCAL_00708,"ABT ADP,ATP carrier protein (Chlamydomonas reinhardtii)",not-interacting,no-int
TCAL_08619,"ACAA2 3-ketoacyl-CoA thiolase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01897,"ACAD8 Isobutyryl-CoA dehydrogenase, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_00457,"ACAD9 Acyl-CoA dehydrogenase family member 9, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_01917,"Acadl Long-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_12103,"ACADM Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_00361,"Acads Short-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_07844,"Acadvl Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_07559,Acly ATP-citrate synthase (Mus musculus),not-interacting,no-int
TCAL_01219,ACO1 Cytoplasmic aconitate hydratase (Homo sapiens),not-interacting,no-int
TCAL_07255,"Aco2 Aconitate hydratase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_01789,ACOT13 Acyl-coenzyme A thioesterase 13 (Pongo abelii),not-interacting,no-int
TCAL_09368,"ACOT9 Acyl-coenzyme A thioesterase 9, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_06144,"ACSF2 Acyl-CoA synthetase family member 2, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_12937,"ACSF2 Acyl-CoA synthetase family member 2, mitochondrial (Macaca fascicularis)",not-interacting,no-int
TCAL_01042,"acsf3 Acyl-CoA synthetase family member 3, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_05174,"acsf3 Acyl-CoA synthetase family member 3, mitochondrial (Xenopus laevis)",not-interacting,no-int
TCAL_12656,"ACSM3 Acyl-coenzyme A synthetase ACSM3, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_12822,"Acss1 Acetyl-coenzyme A synthetase 2-like, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_05040,"ACSS3 Acyl-CoA synthetase short-chain family member 3, mitochondrial (Pongo abelii)",not-interacting,no-int
TCAL_13290,Adck1 Uncharacterized aarF domain-containing protein kinase 1 (Mus musculus),not-interacting,no-int
TCAL_11325,Adck2 Uncharacterized aarF domain-containing protein kinase 2 (Mus musculus),not-interacting,no-int
TCAL_01111,Adk2 Adenylate kinase (Drosophila melanogaster),not-interacting,no-int
TCAL_12115,"AGAP006646 Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial (Anopheles gambiae)",not-interacting,no-int
TCAL_07285,"agk Acylglycerol kinase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_05593,"Aifm1 Apoptosis-inducing factor 1, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_00834,AIFM3 Apoptosis-inducing factor 3 (Homo sapiens),not-interacting,no-int
TCAL_00864,"AK3 GTP:AMP phosphotransferase AK3, mitochondrial (Homo sapiens)",not-interacting,no-int
TCAL_08634,"Akap10 A-kinase anchor protein 10, mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_02860,"ALAS1 5-aminolevulinate synthase, nonspecific, mitochondrial (Bos taurus)",not-interacting,no-int
TCAL_03832,Aldh18a1 Delta-1-pyrroline-5-carboxylate synthase (Mus musculus),not-interacting,no-int
TCAL_01748,Aldh1l2 Mitochondrial 10-formyltetrahydrofolate dehydrogenase (Mus musculus),not-interacting,no-int
TCAL_02765,"Aldh2 Aldehyde dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_11000,"aldh4a1 Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (Danio rerio)",not-interacting,no-int
TCAL_05074,"Aldh5a1 Succinate-semialdehyde dehydrogenase, mitochondrial (Rattus norvegicus)",not-interacting,no-int
TCAL_05307,"Aldh6a1 Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (Mus musculus)",not-interacting,no-int
TCAL_04840,ALDH7A1 Alpha-aminoadipic semialdehyde dehydrogenase (Bos taurus),not-interacting,no-int
